# == Iter    0 ==
Timepoint   	K_ECF       	K_ICF       	K_urin      	K_git       	K_tiss      	K_sal       	K_feed      	***         	***         	***         	Insulin     	s20         	s23         	s27         	***         	s29         	***         	***         	***         	***         	***         	s35         
5.544633e+00	5.553729e+00	2.482473e+01	3.484257e-01	2.904317e+00	1.508921e+03	4.342082e-01	7.756504e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.169924e+01	1.789116e+02	4.552380e+00	4.076081e+01	0.000000e+00	3.735121e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.832287e+01
5.570986e+00	5.592461e+00	2.480774e+01	3.748662e-01	2.906532e+00	1.508910e+03	4.355164e-01	8.096264e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.168679e+01	1.809671e+02	4.604866e+00	4.002233e+01	0.000000e+00	3.731355e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.037837e+01
5.597727e+00	5.628999e+00	2.479071e+01	4.026011e-01	2.909649e+00	1.508900e+03	4.368869e-01	8.438675e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.167294e+01	1.830711e+02	4.656462e+00	3.929729e+01	0.000000e+00	3.727321e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.248241e+01
5.624869e+00	5.663441e+00	2.477360e+01	4.316748e-01	2.913697e+00	1.508891e+03	4.383163e-01	8.783910e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.165768e+01	1.852254e+02	4.707174e+00	3.858581e+01	0.000000e+00	3.723026e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.463667e+01
5.652424e+00	5.695882e+00	2.475637e+01	4.621316e-01	2.918701e+00	1.508883e+03	4.398010e-01	9.132146e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.164099e+01	1.874316e+02	4.757005e+00	3.788805e+01	0.000000e+00	3.718475e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.684291e+01
5.680406e+00	5.726413e+00	2.473899e+01	4.940165e-01	2.924694e+00	1.508876e+03	4.413377e-01	9.483567e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.162288e+01	1.896917e+02	4.805958e+00	3.720414e+01	0.000000e+00	3.713676e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.910296e+01
5.708828e+00	5.755126e+00	2.472142e+01	5.273741e-01	2.931705e+00	1.508869e+03	4.429231e-01	9.838367e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.160335e+01	1.920074e+02	4.854034e+00	3.653427e+01	0.000000e+00	3.708634e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-5.141873e+01
5.737704e+00	5.782109e+00	2.470362e+01	5.622494e-01	2.939767e+00	1.508863e+03	4.445540e-01	1.019674e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.158241e+01	1.943809e+02	4.901237e+00	3.587860e+01	0.000000e+00	3.703357e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-5.379215e+01
5.767050e+00	5.807450e+00	2.468557e+01	5.986893e-01	2.948915e+00	1.508859e+03	4.462274e-01	1.055890e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.156008e+01	1.968141e+02	4.947570e+00	3.523733e+01	0.000000e+00	3.697851e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-5.622537e+01
5.796881e+00	5.831232e+00	2.466721e+01	6.367409e-01	2.959185e+00	1.508854e+03	4.479402e-01	1.092506e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.153638e+01	1.993092e+02	4.993032e+00	3.461066e+01	0.000000e+00	3.692124e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-5.872050e+01
5.827213e+00	5.853539e+00	2.464853e+01	6.764534e-01	2.970615e+00	1.508851e+03	4.496897e-01	1.129546e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.151134e+01	2.018685e+02	5.037628e+00	3.399880e+01	0.000000e+00	3.686184e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-6.127985e+01
5.858061e+00	5.874450e+00	2.462948e+01	7.178774e-01	2.983247e+00	1.508848e+03	4.514729e-01	1.167033e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.148499e+01	2.044945e+02	5.081358e+00	3.340198e+01	0.000000e+00	3.680037e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-6.390576e+01
5.889445e+00	5.894042e+00	2.461003e+01	7.610672e-01	2.997121e+00	1.508846e+03	4.532871e-01	1.204994e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.145736e+01	2.071895e+02	5.124225e+00	3.282043e+01	0.000000e+00	3.673693e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-6.660077e+01
5.921383e+00	5.912390e+00	2.459015e+01	8.060797e-01	3.012285e+00	1.508844e+03	4.551299e-01	1.243455e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.142848e+01	2.099562e+02	5.166231e+00	3.225438e+01	0.000000e+00	3.667159e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-6.936754e+01
5.953895e+00	5.929564e+00	2.456979e+01	8.529768e-01	3.028785e+00	1.508843e+03	4.569987e-01	1.282447e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.139840e+01	2.127976e+02	5.207380e+00	3.170409e+01	0.000000e+00	3.660444e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-7.220894e+01
5.987003e+00	5.945634e+00	2.454893e+01	9.018241e-01	3.046673e+00	1.508843e+03	4.588912e-01	1.322000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.136715e+01	2.157167e+02	5.247673e+00	3.116982e+01	0.000000e+00	3.653557e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-7.512799e+01
6.020731e+00	5.960663e+00	2.452753e+01	9.526951e-01	3.066005e+00	1.508843e+03	4.608051e-01	1.362150e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.133477e+01	2.187167e+02	5.287116e+00	3.065180e+01	0.000000e+00	3.646505e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-7.812800e+01
6.055106e+00	5.974711e+00	2.450555e+01	1.005670e+00	3.086841e+00	1.508843e+03	4.627385e-01	1.402935e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.130131e+01	2.218013e+02	5.325715e+00	3.015031e+01	0.000000e+00	3.639299e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-8.121261e+01
6.090156e+00	5.987836e+00	2.448295e+01	1.060837e+00	3.109244e+00	1.508844e+03	4.646893e-01	1.444397e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.126682e+01	2.249744e+02	5.363475e+00	2.966562e+01	0.000000e+00	3.631946e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-8.438574e+01
6.125915e+00	6.000091e+00	2.445970e+01	1.118298e+00	3.133287e+00	1.508846e+03	4.666560e-01	1.486584e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.123133e+01	2.282405e+02	5.400407e+00	2.919797e+01	0.000000e+00	3.624456e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-8.765182e+01
6.162422e+00	6.011523e+00	2.443575e+01	1.178164e+00	3.159049e+00	1.508848e+03	4.686369e-01	1.529549e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.119489e+01	2.316045e+02	5.436518e+00	2.874765e+01	0.000000e+00	3.616837e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-9.101576e+01
6.199720e+00	6.022178e+00	2.441105e+01	1.240569e+00	3.186617e+00	1.508851e+03	4.706308e-01	1.573355e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.115754e+01	2.350720e+02	5.471824e+00	2.831491e+01	0.000000e+00	3.609097e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-9.448332e+01
6.237862e+00	6.032096e+00	2.438555e+01	1.305663e+00	3.216094e+00	1.508854e+03	4.726368e-01	1.618073e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.111932e+01	2.386497e+02	5.506341e+00	2.790002e+01	0.000000e+00	3.601243e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-9.806102e+01
6.276913e+00	6.041314e+00	2.435919e+01	1.373627e+00	3.247596e+00	1.508858e+03	4.746543e-01	1.663790e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.108026e+01	2.423454e+02	5.540089e+00	2.750323e+01	0.000000e+00	3.593282e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.017567e+02
6.316949e+00	6.049863e+00	2.433190e+01	1.444679e+00	3.281261e+00	1.508862e+03	4.766833e-01	1.710610e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.104039e+01	2.461684e+02	5.573095e+00	2.712479e+01	0.000000e+00	3.585219e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.055797e+02
6.358070e+00	6.057774e+00	2.430360e+01	1.519085e+00	3.317258e+00	1.508867e+03	4.787244e-01	1.758663e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.099972e+01	2.501305e+02	5.605394e+00	2.676495e+01	0.000000e+00	3.577056e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.095418e+02
6.400403e+00	6.065069e+00	2.427418e+01	1.597181e+00	3.355793e+00	1.508872e+03	4.807793e-01	1.808111e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.095824e+01	2.542465e+02	5.637030e+00	2.642394e+01	0.000000e+00	3.568793e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.136578e+02
6.444118e+00	6.071770e+00	2.424351e+01	1.679408e+00	3.397134e+00	1.508878e+03	4.828510e-01	1.859172e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.091592e+01	2.585357e+02	5.668065e+00	2.610198e+01	0.000000e+00	3.560424e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.179470e+02
6.489454e+00	6.077894e+00	2.421140e+01	1.766366e+00	3.441642e+00	1.508884e+03	4.849446e-01	1.912144e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.087269e+01	2.630251e+02	5.698587e+00	2.579925e+01	0.000000e+00	3.551935e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.224364e+02
