Distance	       1	       2	       3
 2.318704e-01	  1.200000e-01	  2.687855e-02	  1.318325e-01
 2.681665e-01	  1.200000e-01	  2.687855e-02	  1.679909e-01
 3.470016e-01	  1.200000e-01	  2.687855e-02	  2.140666e-01
 4.309510e-01	  1.200000e-01	  2.687855e-02	  2.727797e-01
 5.072836e-01	  1.200000e-01	  2.687855e-02	  3.475964e-01
 5.727569e-01	  1.200000e-01	  2.687855e-02	  4.429334e-01
 6.273049e-01	  1.200000e-01	  2.687855e-02	  5.644189e-01
 6.719681e-01	  1.200000e-01	  2.687855e-02	  7.192249e-01
 7.081215e-01	  1.200000e-01	  2.687855e-02	  9.164904e-01
 7.371545e-01	  1.200000e-01	  2.687855e-02	  1.167861e+00
 7.603364e-01	  1.200000e-01	  2.687855e-02	  1.488176e+00
 7.787690e-01	  1.200000e-01	  2.687855e-02	  1.896345e+00
 7.933797e-01	  1.200000e-01	  2.687855e-02	  2.416465e+00
 8.049338e-01	  1.200000e-01	  2.687855e-02	  3.079241e+00
 8.140548e-01	  1.200000e-01	  2.687855e-02	  3.923800e+00
 8.212452e-01	  1.200000e-01	  2.687855e-02	  5.000000e+00
 5.856354e-01	  1.200000e-01	  3.425066e-02	  5.000000e-02
 4.228205e-01	  1.200000e-01	  3.425066e-02	  6.371375e-02
 2.849237e-01	  1.200000e-01	  3.425066e-02	  8.118884e-02
 2.093288e-01	  1.200000e-01	  3.425066e-02	  1.034569e-01
 2.334222e-01	  1.200000e-01	  3.425066e-02	  1.318325e-01
 3.140497e-01	  1.200000e-01	  3.425066e-02	  1.679909e-01
 4.030028e-01	  1.200000e-01	  3.425066e-02	  2.140666e-01
 4.843616e-01	  1.200000e-01	  3.425066e-02	  2.727797e-01
 5.542611e-01	  1.200000e-01	  3.425066e-02	  3.475964e-01
 6.125340e-01	  1.200000e-01	  3.425066e-02	  4.429334e-01
 6.602552e-01	  1.200000e-01	  3.425066e-02	  5.644189e-01
 6.988781e-01	  1.200000e-01	  3.425066e-02	  7.192249e-01
 7.298827e-01	  1.200000e-01	  3.425066e-02	  9.164904e-01
 7.546267e-01	  1.200000e-01	  3.425066e-02	  1.167861e+00
 7.742908e-01	  1.200000e-01	  3.425066e-02	  1.488176e+00
 7.898694e-01	  1.200000e-01	  3.425066e-02	  1.896345e+00
 8.021829e-01	  1.200000e-01	  3.425066e-02	  2.416465e+00
 8.118990e-01	  1.200000e-01	  3.425066e-02	  3.079241e+00
 8.195557e-01	  1.200000e-01	  3.425066e-02	  3.923800e+00
 8.255836e-01	  1.200000e-01	  3.425066e-02	  5.000000e+00
 4.288404e-01	  1.200000e-01	  4.364476e-02	  5.000000e-02
 2.862796e-01	  1.200000e-01	  4.364476e-02	  6.371375e-02
 1.957691e-01	  1.200000e-01	  4.364476e-02	  8.118884e-02
 2.081414e-01	  1.200000e-01	  4.364476e-02	  1.034569e-01
 2.892373e-01	  1.200000e-01	  4.364476e-02	  1.318325e-01
 3.817476e-01	  1.200000e-01	  4.364476e-02	  1.679909e-01
 4.668468e-01	  1.200000e-01	  4.364476e-02	  2.140666e-01
 5.401172e-01	  1.200000e-01	  4.364476e-02	  2.727797e-01
 6.012687e-01	  1.200000e-01	  4.364476e-02	  3.475964e-01
 6.513700e-01	  1.200000e-01	  4.364476e-02	  4.429334e-01
 6.919166e-01	  1.200000e-01	  4.364476e-02	  5.644189e-01
 7.244508e-01	  1.200000e-01	  4.364476e-02	  7.192249e-01
 7.503975e-01	  1.200000e-01	  4.364476e-02	  9.164904e-01
 7.710006e-01	  1.200000e-01	  4.364476e-02	  1.167861e+00
 7.873094e-01	  1.200000e-01	  4.364476e-02	  1.488176e+00
 8.001899e-01	  1.200000e-01	  4.364476e-02	  1.896345e+00
 8.103461e-01	  1.200000e-01	  4.364476e-02	  2.416465e+00
 8.183445e-01	  1.200000e-01	  4.364476e-02	  3.079241e+00
 8.246381e-01	  1.200000e-01	  4.364476e-02	  3.923800e+00
 8.295871e-01	  1.200000e-01	  4.364476e-02	  5.000000e+00
 2.867123e-01	  1.200000e-01	  5.561542e-02	  5.000000e-02
 1.901784e-01	  1.200000e-01	  5.561542e-02	  6.371375e-02
 1.936391e-01	  1.200000e-01	  5.561542e-02	  8.118884e-02
 2.733810e-01	  1.200000e-01	  5.561542e-02	  1.034569e-01
 3.674859e-01	  1.200000e-01	  5.561542e-02	  1.318325e-01
 4.547925e-01	  1.200000e-01	  5.561542e-02	  1.679909e-01
 5.302773e-01	  1.200000e-01	  5.561542e-02	  2.140666e-01
 5.934292e-01	  1.200000e-01	  5.561542e-02	  2.727797e-01
 6.452335e-01	  1.200000e-01	  5.561542e-02	  3.475964e-01
 6.871720e-01	  1.200000e-01	  5.561542e-02	  4.429334e-01
 7.208108e-01	  1.200000e-01	  5.561542e-02	  5.644189e-01
 7.476162e-01	  1.200000e-01	  5.561542e-02	  7.192249e-01
 7.688779e-01	  1.200000e-01	  5.561542e-02	  9.164904e-01
 7.856880e-01	  1.200000e-01	  5.561542e-02	  1.167861e+00
 7.989489e-01	  1.200000e-01	  5.561542e-02	  1.488176e+00
 8.093936e-01	  1.200000e-01	  5.561542e-02	  1.896345e+00
 8.176114e-01	  1.200000e-01	  5.561542e-02	  2.416465e+00
 8.240722e-01	  1.200000e-01	  5.561542e-02	  3.079241e+00
 8.291491e-01	  1.200000e-01	  5.561542e-02	  3.923800e+00
 8.331369e-01	  1.200000e-01	  5.561542e-02	  5.000000e+00
 1.917249e-01	  1.200000e-01	  7.086934e-02	  5.000000e-02
 1.904429e-01	  1.200000e-01	  7.086934e-02	  6.371375e-02
