Timepoint   	           1	           2	 00001/00001	 00002/00001	 00001/00002	 00002/00002	 00001/00003	 00002/00003
1.650000e+01	2.509995e+00	5.260820e+00	-1.097687e+00	1.905876e+00	-6.145983e+00	-1.211773e+01	2.477257e+00	-4.020419e+00
1.800000e+01	3.352862e+00	6.283220e+00	-1.468004e+00	2.428418e+00	-7.466958e+00	-1.439962e+01	2.806582e+00	-4.662353e+00
1.950000e+01	3.457644e+00	7.389795e+00	-1.644328e+00	2.796304e+00	-8.839656e+00	-1.727132e+01	3.360643e+00	-5.587471e+00
2.100000e+01	3.275874e+00	7.680487e+00	-1.494762e+00	2.835756e+00	-9.867258e+00	-2.009663e+01	3.563590e+00	-6.210382e+00
2.250000e+01	3.923105e+00	8.166089e+00	-1.644378e+00	3.169130e+00	-1.116434e+01	-2.285091e+01	3.634859e+00	-6.711256e+00
2.400000e+01	4.464743e+00	9.300301e+00	-1.959911e+00	3.702964e+00	-1.284308e+01	-2.612301e+01	4.046061e+00	-7.580562e+00
2.550000e+01	4.208247e+00	9.905186e+00	-1.890686e+00	3.868714e+00	-1.424109e+01	-2.964485e+01	4.384233e+00	-8.428525e+00
2.700000e+01	4.233592e+00	9.941669e+00	-1.751576e+00	3.945504e+00	-1.544985e+01	-3.288026e+01	4.337716e+00	-8.907555e+00
2.850000e+01	4.792596e+00	1.045403e+01	-1.927453e+00	4.339967e+00	-1.699028e+01	-3.615560e+01	4.370133e+00	-9.459332e+00
3.000000e+01	4.873949e+00	1.114375e+01	-2.023584e+00	4.676483e+00	-1.858705e+01	-3.975758e+01	4.608236e+00	-1.023619e+01
3.150000e+01	4.594844e+00	1.121865e+01	-1.841247e+00	4.727135e+00	-1.985898e+01	-4.324829e+01	4.619926e+00	-1.080510e+01
3.300000e+01	4.781870e+00	1.119577e+01	-1.784397e+00	4.884953e+00	-2.114180e+01	-4.646387e+01	4.443008e+00	-1.117161e+01
3.450000e+01	5.075012e+00	1.159063e+01	-1.895314e+00	5.216898e+00	-2.263201e+01	-4.977456e+01	4.440038e+00	-1.169948e+01
3.600000e+01	4.899338e+00	1.181503e+01	-1.823958e+00	5.371245e+00	-2.396905e+01	-5.315509e+01	4.472614e+00	-1.226843e+01
3.750000e+01	4.743014e+00	1.163405e+01	-1.649439e+00	5.404312e+00	-2.508961e+01	-5.626359e+01	4.288719e+00	-1.261205e+01
3.900000e+01	4.933282e+00	1.162146e+01	-1.641204e+00	5.591819e+00	-2.630235e+01	-5.919421e+01	4.090752e+00	-1.291542e+01
4.050000e+01	4.966233e+00	1.180112e+01	-1.651208e+00	5.800709e+00	-2.755288e+01	-6.217179e+01	4.031490e+00	-1.334284e+01
4.200000e+01	4.734650e+00	1.170130e+01	-1.506335e+00	5.846371e+00	-2.859628e+01	-6.502390e+01	3.902607e+00	-1.369173e+01
4.350000e+01	4.689498e+00	1.145884e+01	-1.385047e+00	5.897213e+00	-2.954820e+01	-6.759974e+01	3.649799e+00	-1.389235e+01
4.500000e+01	4.780040e+00	1.142546e+01	-1.375239e+00	6.052628e+00	-3.056836e+01	-7.007188e+01	3.466540e+00	-1.413481e+01
4.650000e+01	4.657328e+00	1.138747e+01	-1.305794e+00	6.145314e+00	-3.150952e+01	-7.249747e+01	3.342190e+00	-1.441932e+01
4.800000e+01	4.474341e+00	1.113243e+01	-1.160218e+00	6.147655e+00	-3.228568e+01	-7.470979e+01	3.127338e+00	-1.459370e+01
4.950000e+01	4.468472e+00	1.090613e+01	-1.083665e+00	6.204780e+00	-3.304182e+01	-7.670855e+01	2.881287e+00	-1.470766e+01
5.100000e+01	4.444441e+00	1.081000e+01	-1.043161e+00	6.292612e+00	-3.379958e+01	-7.862807e+01	2.710379e+00	-1.487161e+01
5.250000e+01	4.273783e+00	1.062005e+01	-9.415188e-01	6.310791e+00	-3.444522e+01	-8.041763e+01	2.537302e+00	-1.501402e+01
5.400000e+01	4.155012e+00	1.032904e+01	-8.250371e-01	6.300021e+00	-3.498541e+01	-8.199823e+01	2.306319e+00	-1.507368e+01
5.550000e+01	4.131141e+00	1.012321e+01	-7.730182e-01	6.343430e+00	-3.552761e+01	-8.342214e+01	2.091664e+00	-1.512221e+01
5.700000e+01	4.031743e+00	9.955004e+00	-7.088923e-01	6.368704e+00	-3.601361e+01	-8.476217e+01	1.925323e+00	-1.519674e+01
5.850000e+01	3.876503e+00	9.694253e+00	-6.043596e-01	6.343123e+00	-3.640682e+01	-8.593337e+01	1.733647e+00	-1.522510e+01
6.000000e+01	3.795985e+00	9.422082e+00	-5.230549e-01	6.329005e+00	-3.674227e+01	-8.693482e+01	1.521055e+00	-1.520762e+01
6.150000e+01	3.735384e+00	9.219778e+00	-4.719938e-01	6.337642e+00	-3.706137e+01	-8.782457e+01	1.343857e+00	-1.520190e+01
6.300000e+01	3.609165e+00	9.000786e+00	-3.980749e-01	6.316267e+00	-3.731390e+01	-8.860589e+01	1.182668e+00	-1.519244e+01
6.450000e+01	3.487675e+00	8.729716e+00	-3.127896e-01	6.273481e+00	-3.749158e+01	-8.923736e+01	9.998309e-01	-1.514073e+01
6.600000e+01	3.417401e+00	8.487627e+00	-2.541579e-01	6.248581e+00	-3.764131e+01	-8.973733e+01	8.230844e-01	-1.507308e+01
6.750000e+01	3.329396e+00	8.279339e+00	-2.016504e-01	6.223585e+00	-3.775850e+01	-9.014398e+01	6.744750e-01	-1.501413e+01
6.900000e+01	3.208820e+00	8.041299e+00	-1.340933e-01	6.176113e+00	-3.781326e+01	-9.044033e+01	5.242943e-01	-1.493612e+01
7.050000e+01	3.114637e+00	7.790446e+00	-6.898802e-02	6.122967e+00	-3.782140e+01	-9.061326e+01	3.678383e-01	-1.483316e+01
7.200000e+01	3.040807e+00	7.572438e+00	-2.309327e-02	6.082487e+00	-3.780730e+01	-9.068902e+01	2.267103e-01	-1.472750e+01
7.350000e+01	2.943503e+00	7.361132e+00	2.699582e-02	6.032252e+00	-3.775424e+01	-9.068159e+01	1.009003e-01	-1.462135e+01
7.500000e+01	2.841051e+00	7.129745e+00	8.414030e-02	5.968410e+00	-3.765311e+01	-9.057617e+01	-2.798100e-02	-1.449690e+01
7.650000e+01	2.762138e+00	6.907417e+00	1.331124e-01	5.906588e+00	-3.752117e+01	-9.037930e+01	-1.511771e-01	-1.436249e+01
7.800000e+01	2.683997e+00	6.706649e+00	1.683941e-01	5.853261e+00	-3.737210e+01	-9.010325e+01	-2.652893e-01	-1.422322e+01
7.950000e+01	2.591464e+00	6.501535e+00	2.129433e-01	5.785970e+00	-3.718335e+01	-8.975786e+01	-3.688352e-01	-1.408155e+01
8.100000e+01	2.506847e+00	6.290618e+00	2.547545e-01	5.716068e+00	-3.696436e+01	-8.933157e+01	-4.746212e-01	-1.392508e+01
8.250000e+01	2.435148e+00	6.094612e+00	2.881938e-01	5.649951e+00	-3.672530e+01	-8.883770e+01	-5.718153e-01	-1.376501e+01
8.400000e+01	2.357710e+00	5.908577e+00	3.204060e-01	5.581248e+00	-3.646353e+01	-8.828650e+01	-6.580789e-01	-1.360489e+01
8.550000e+01	2.276359e+00	5.718203e+00	3.548738e-01	5.506268e+00	-3.617433e+01	-8.767486e+01	-7.416678e-01	-1.343730e+01
8.700000e+01	2.204874e+00	5.531685e+00	3.849528e-01	5.431651e+00	-3.586497e+01	-8.700426e+01	-8.229631e-01	-1.326219e+01
8.850000e+01	2.137675e+00	5.357554e+00	4.111454e-01	5.357815e+00	-3.553928e+01	-8.628573e+01	-8.945134e-01	-1.308747e+01
9.000000e+01	2.065871e+00	5.186950e+00	4.356166e-01	5.282543e+00	-3.519517e+01	-8.552174e+01	-9.604783e-01	-1.291019e+01
9.150000e+01	1.996370e+00	5.015967e+00	4.605056e-01	5.203822e+00	-3.483382e+01	-8.471035e+01	-1.023970e+00	-1.272761e+01
9.300000e+01	1.933825e+00	4.852463e+00	4.816887e-01	5.126068e+00	-3.445809e+01	-8.385911e+01	-1.082633e+00	-1.254248e+01
9.450000e+01	1.871509e+00	4.696942e+00	4.992703e-01	5.049555e+00	-3.407144e+01	-8.297202e+01	-1.135646e+00	-1.235637e+01
9.600000e+01	1.807838e+00	4.543138e+00	5.189857e-01	4.968718e+00	-3.366879e+01	-8.205341e+01	-1.183028e+00	-1.216988e+01
9.750000e+01	1.748330e+00	4.392397e+00	5.357021e-01	4.888679e+00	-3.325551e+01	-8.110170e+01	-1.228394e+00	-1.197979e+01
9.900000e+01	1.692448e+00	4.248905e+00	5.497343e-01	4.809512e+00	-3.283355e+01	-8.012297e+01	-1.268894e+00	-1.178939e+01
1.005000e+02	1.636092e+00	4.110206e+00	5.627082e-01	4.729813e+00	-3.240322e+01	-7.912004e+01	-1.304799e+00	-1.159902e+01
