Timepoint   	LH_pit      	LH_blood    	R_LH        	LH_R        	R_LH_des    	FSH_pit     	FSH_blood   	R_FSH       	FSH_R       	R_FSH_des   	S_foll      	AF1         	AF2         	AF3         	AF4         	PrF         	OvF         	Sc1         	Sc2         	Lut1        	Lut2        	Lut3        	Lut4        	E2          	P4          	InhA        	InhB        	InhA_tau    	GnRH_G      	R_GnRH_a    	R_GnRH_i    	GnRH_R_a    	GnRH_R_i    
-4.225969e+01	2.603697e+05	2.746478e+00	8.389361e+00	2.692166e-01	7.154227e-01	5.999773e+04	5.378224e+00	5.870236e+00	8.053150e-01	1.823449e+00	1.603220e-01	2.595681e+00	2.374853e+01	5.039146e-01	1.708633e-05	2.449196e-01	1.178170e-18	7.457078e-09	1.590978e-06	1.638083e-05	2.537893e-04	2.637541e-03	1.004053e-02	3.972353e+01	1.802708e+00	8.941516e-01	6.210669e+01	6.873593e+01	1.647238e-02	8.987970e-03	9.622317e-04	7.077240e-05	6.373911e-05
-4.224744e+01	2.604049e+05	2.748416e+00	8.388749e+00	2.693859e-01	7.158652e-01	6.000779e+04	5.383031e+00	5.868615e+00	8.058120e-01	1.824573e+00	1.605773e-01	2.595785e+00	2.377975e+01	5.045343e-01	1.714371e-05	2.449206e-01	1.192761e-18	7.346415e-09	1.572533e-06	1.621476e-05	2.516320e-04	2.620244e-03	9.993559e-03	3.965087e+01	1.794689e+00	8.921961e-01	6.218766e+01	6.861547e+01	1.653870e-02	8.987287e-03	9.624152e-04	7.105204e-05	6.399231e-05
-4.223532e+01	2.604400e+05	2.750363e+00	8.388134e+00	2.695559e-01	7.163097e-01	6.001744e+04	5.387797e+00	5.867007e+00	8.063045e-01	1.825688e+00	1.608338e-01	2.595885e+00	2.381068e+01	5.051490e-01	1.720126e-05	2.449216e-01	1.206169e-18	7.238470e-09	1.554483e-06	1.605198e-05	2.495140e-04	2.603226e-03	9.947232e-03	3.957969e+01	1.786812e+00	8.902552e-01	6.226787e+01	6.849639e+01	1.660447e-02	8.986611e-03	9.625973e-04	7.132930e-05	6.424339e-05
-4.222331e+01	2.604747e+05	2.752320e+00	8.387517e+00	2.697268e-01	7.167565e-01	6.002671e+04	5.392527e+00	5.865413e+00	8.067930e-01	1.826794e+00	1.610915e-01	2.595981e+00	2.384134e+01	5.057594e-01	1.725901e-05	2.449227e-01	1.218594e-18	7.133074e-09	1.536800e-06	1.589227e-05	2.474326e-04	2.586468e-03	9.901503e-03	3.950987e+01	1.779068e+00	8.883281e-01	6.234740e+01	6.837859e+01	1.666973e-02	8.985939e-03	9.627780e-04	7.160440e-05	6.449256e-05
-4.221141e+01	2.605092e+05	2.754285e+00	8.386896e+00	2.698984e-01	7.172052e-01	6.003561e+04	5.397219e+00	5.863833e+00	8.072772e-01	1.827890e+00	1.613503e-01	2.596073e+00	2.387173e+01	5.063650e-01	1.731694e-05	2.449237e-01	1.230186e-18	7.030225e-09	1.519490e-06	1.573567e-05	2.453885e-04	2.569977e-03	9.856395e-03	3.944141e+01	1.771457e+00	8.864166e-01	6.242621e+01	6.826212e+01	1.673445e-02	8.985272e-03	9.629572e-04	7.187715e-05	6.473963e-05
-4.219965e+01	2.605434e+05	2.756256e+00	8.386275e+00	2.700704e-01	7.176550e-01	6.004412e+04	5.401864e+00	5.862270e+00	8.077564e-01	1.828974e+00	1.616098e-01	2.596161e+00	2.390178e+01	5.069648e-01	1.737493e-05	2.449248e-01	1.241060e-18	6.930012e-09	1.502569e-06	1.558236e-05	2.433841e-04	2.553774e-03	9.811974e-03	3.937439e+01	1.763987e+00	8.845245e-01	6.250416e+01	6.814716e+01	1.679851e-02	8.984612e-03	9.631346e-04	7.214711e-05	6.498421e-05
-4.218803e+01	2.605773e+05	2.758230e+00	8.385652e+00	2.702427e-01	7.181056e-01	6.005226e+04	5.406461e+00	5.860723e+00	8.082304e-01	1.830047e+00	1.618698e-01	2.596246e+00	2.393150e+01	5.075586e-01	1.743297e-05	2.449258e-01	1.251328e-18	6.832387e-09	1.486033e-06	1.543230e-05	2.414192e-04	2.537858e-03	9.768241e-03	3.930876e+01	1.756656e+00	8.826529e-01	6.258123e+01	6.803373e+01	1.686190e-02	8.983959e-03	9.633102e-04	7.241418e-05	6.522621e-05
-4.217655e+01	2.606108e+05	2.760208e+00	8.385028e+00	2.704154e-01	7.185571e-01	6.006005e+04	5.411013e+00	5.859193e+00	8.086995e-01	1.831108e+00	1.621303e-01	2.596327e+00	2.396089e+01	5.081468e-01	1.749106e-05	2.449268e-01	1.261091e-18	6.737241e-09	1.469867e-06	1.528537e-05	2.394923e-04	2.522220e-03	9.725173e-03	3.924447e+01	1.749458e+00	8.808015e-01	6.265746e+01	6.792178e+01	1.692463e-02	8.983312e-03	9.634840e-04	7.267845e-05	6.546570e-05
-4.216519e+01	2.606441e+05	2.762190e+00	8.384402e+00	2.705884e-01	7.190095e-01	6.006749e+04	5.415522e+00	5.857677e+00	8.091639e-01	1.832159e+00	1.623915e-01	2.596404e+00	2.398998e+01	5.087296e-01	1.754924e-05	2.449278e-01	1.270434e-18	6.644440e-09	1.454050e-06	1.514140e-05	2.376014e-04	2.506845e-03	9.682734e-03	3.918143e+01	1.742385e+00	8.789695e-01	6.273290e+01	6.781121e+01	1.698675e-02	8.982672e-03	9.636560e-04	7.294010e-05	6.570284e-05
-4.215395e+01	2.606771e+05	2.764178e+00	8.383775e+00	2.707618e-01	7.194632e-01	6.007462e+04	5.419992e+00	5.856176e+00	8.096241e-01	1.833200e+00	1.626534e-01	2.596478e+00	2.401879e+01	5.093075e-01	1.760754e-05	2.449288e-01	1.279431e-18	6.553853e-09	1.438563e-06	1.500023e-05	2.357444e-04	2.491716e-03	9.640883e-03	3.911956e+01	1.735429e+00	8.771559e-01	6.280761e+01	6.770194e+01	1.704830e-02	8.982037e-03	9.638265e-04	7.319932e-05	6.593780e-05
