Timepoint   	E2          	SD          	P4          	SD          	LH_blood    	SD          	FSH_blood   	SD          
-1.000000e+01	3.800004e+01	1.000000e+00	2.400000e-01	1.000000e+00	3.430000e+00	1.000000e+00	6.000000e+00	1.000000e+00
-1.000000e+01	4.200009e+01	1.000000e+00	2.699999e-01	1.000000e+00	6.840000e+00	1.000000e+00	7.210000e+00	1.000000e+00
-1.000000e+01	4.899996e+01	1.000000e+00	3.299985e-01	1.000000e+00	6.960000e+00	1.000000e+00	7.080000e+00	1.000000e+00
-1.000000e+01	4.700008e+01	1.000000e+00	3.100001e-01	1.000000e+00	1.239000e+01	1.000000e+00	5.640000e+00	1.000000e+00
-9.000000e+00	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-9.000000e+00	4.300003e+01	1.000000e+00	2.699999e-01	1.000000e+00	5.820000e+00	1.000000e+00	5.130000e+00	1.000000e+00
-9.000000e+00	6.399994e+01	1.000000e+00	5.799990e-01	1.000000e+00	4.430000e+00	1.000000e+00	5.160000e+00	1.000000e+00
-9.000000e+00	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-9.000000e+00	2.500001e+01	1.000000e+00	2.699999e-01	1.000000e+00	7.260000e+00	1.000000e+00	7.560000e+00	1.000000e+00
-9.000000e+00	5.200007e+01	1.000000e+00	5.000010e-01	1.000000e+00	7.000000e+00	1.000000e+00	7.140000e+00	1.000000e+00
-9.000000e+00	1.179999e+02	1.000000e+00	3.799993e-01	1.000000e+00	4.850000e+00	1.000000e+00	6.600000e+00	1.000000e+00
-9.000000e+00	5.200007e+01	1.000000e+00	2.900001e-01	1.000000e+00	5.100000e+00	1.000000e+00	7.510000e+00	1.000000e+00
-9.000000e+00	6.100011e+01	1.000000e+00	2.299999e-01	1.000000e+00	4.300000e+00	1.000000e+00	5.720000e+00	1.000000e+00
-9.000000e+00	3.599988e+01	1.000000e+00	2.000001e-01	1.000000e+00	8.980000e+00	1.000000e+00	6.560000e+00	1.000000e+00
-9.000000e+00	5.600012e+01	1.000000e+00	3.599990e-01	1.000000e+00	7.310000e+00	1.000000e+00	6.950000e+00	1.000000e+00
-9.000000e+00	5.600012e+01	1.000000e+00	2.800000e-01	1.000000e+00	1.166000e+01	1.000000e+00	6.190000e+00	1.000000e+00
-8.000000e+00	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-8.000000e+00	4.999991e+01	1.000000e+00	3.299985e-01	1.000000e+00	6.790000e+00	1.000000e+00	4.990000e+00	1.000000e+00
-8.000000e+00	6.100011e+01	1.000000e+00	3.100001e-01	1.000000e+00	3.690000e+00	1.000000e+00	4.260000e+00	1.000000e+00
-8.000000e+00	4.099987e+01	1.000000e+00	1.800001e-01	1.000000e+00	8.240000e+00	1.000000e+00	7.100000e+00	1.000000e+00
-8.000000e+00	4.999991e+01	1.000000e+00	2.200001e-01	1.000000e+00	7.060000e+00	1.000000e+00	7.250000e+00	1.000000e+00
-8.000000e+00	5.100012e+01	1.000000e+00	4.800007e-01	1.000000e+00	4.420000e+00	1.000000e+00	6.280000e+00	1.000000e+00
-8.000000e+00	8.600006e+01	1.000000e+00	4.099997e-01	1.000000e+00	7.740000e+00	1.000000e+00	6.250000e+00	1.000000e+00
-8.000000e+00	3.599988e+01	1.000000e+00	4.400001e-01	1.000000e+00	6.400000e+00	1.000000e+00	6.190000e+00	1.000000e+00
-8.000000e+00	5.899995e+01	1.000000e+00	2.299999e-01	1.000000e+00	5.170000e+00	1.000000e+00	4.890000e+00	1.000000e+00
-8.000000e+00	4.300003e+01	1.000000e+00	2.299999e-01	1.000000e+00	1.047000e+01	1.000000e+00	6.880000e+00	1.000000e+00
-8.000000e+00	6.700004e+01	1.000000e+00	2.800000e-01	1.000000e+00	6.980000e+00	1.000000e+00	5.370000e+00	1.000000e+00
-8.000000e+00	7.299998e+01	1.000000e+00	3.299985e-01	1.000000e+00	9.220000e+00	1.000000e+00	4.740000e+00	1.000000e+00
-7.000000e+00	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-7.000000e+00	5.600012e+01	1.000000e+00	2.499999e-01	1.000000e+00	7.850000e+00	1.000000e+00	4.250000e+00	1.000000e+00
-7.000000e+00	8.200001e+01	1.000000e+00	3.200015e-01	1.000000e+00	2.950000e+00	1.000000e+00	4.310000e+00	1.000000e+00
-7.000000e+00	9.199999e+01	1.000000e+00	2.099999e-01	1.000000e+00	5.120000e+00	1.000000e+00	6.360000e+00	1.000000e+00
-7.000000e+00	5.600012e+01	1.000000e+00	2.600000e-01	1.000000e+00	5.200000e+00	1.000000e+00	5.410000e+00	1.000000e+00
-7.000000e+00	6.600010e+01	1.000000e+00	5.200013e-01	1.000000e+00	4.570000e+00	1.000000e+00	5.920000e+00	1.000000e+00
-7.000000e+00	9.799993e+01	1.000000e+00	3.399987e-01	1.000000e+00	6.630000e+00	1.000000e+00	6.580000e+00	1.000000e+00
-7.000000e+00	2.800006e+01	1.000000e+00	3.399987e-01	1.000000e+00	1.183000e+01	1.000000e+00	9.340000e+00	1.000000e+00
-7.000000e+00	6.200005e+01	1.000000e+00	3.699991e-01	1.000000e+00	6.190000e+00	1.000000e+00	5.750000e+00	1.000000e+00
-7.000000e+00	5.899995e+01	1.000000e+00	1.800001e-01	1.000000e+00	7.500000e+00	1.000000e+00	6.330000e+00	1.000000e+00
-7.000000e+00	7.500013e+01	1.000000e+00	3.699991e-01	1.000000e+00	6.700000e+00	1.000000e+00	4.870000e+00	1.000000e+00
-7.000000e+00	7.600008e+01	1.000000e+00	3.200015e-01	1.000000e+00	7.320000e+00	1.000000e+00	3.860000e+00	1.000000e+00
-6.000000e+00	1.269999e+02	1.000000e+00	3.599990e-01	1.000000e+00	4.290000e+00	1.000000e+00	5.200000e+00	1.000000e+00
-6.000000e+00	5.200007e+01	1.000000e+00	2.699999e-01	1.000000e+00	6.480000e+00	1.000000e+00	4.520000e+00	1.000000e+00
-6.000000e+00	8.899989e+01	1.000000e+00	3.699991e-01	1.000000e+00	3.690000e+00	1.000000e+00	3.700000e+00	1.000000e+00
-6.000000e+00	1.060000e+02	1.000000e+00	1.500000e-01	1.000000e+00	5.700000e+00	1.000000e+00	5.260000e+00	1.000000e+00
-6.000000e+00	4.899996e+01	1.000000e+00	2.600000e-01	1.000000e+00	8.670000e+00	1.000000e+00	5.220000e+00	1.000000e+00
-6.000000e+00	7.899991e+01	1.000000e+00	4.400001e-01	1.000000e+00	4.440000e+00	1.000000e+00	5.440000e+00	1.000000e+00
-6.000000e+00	1.150001e+02	1.000000e+00	3.399987e-01	1.000000e+00	6.430000e+00	1.000000e+00	6.310000e+00	1.000000e+00
-6.000000e+00	6.700004e+01	1.000000e+00	3.599990e-01	1.000000e+00	7.380000e+00	1.000000e+00	8.890000e+00	1.000000e+00
-6.000000e+00	1.000001e+02	1.000000e+00	1.700000e-01	1.000000e+00	4.160000e+00	1.000000e+00	4.890000e+00	1.000000e+00
-6.000000e+00	3.899998e+01	1.000000e+00	2.200001e-01	1.000000e+00	1.065000e+01	1.000000e+00	6.390000e+00	1.000000e+00
-6.000000e+00	9.899987e+01	1.000000e+00	4.099997e-01	1.000000e+00	4.190000e+00	1.000000e+00	3.710000e+00	1.000000e+00
-6.000000e+00	5.300001e+01	1.000000e+00	3.100001e-01	1.000000e+00	1.036000e+01	1.000000e+00	4.130000e+00	1.000000e+00
-5.000000e+00	1.630001e+02	1.000000e+00	2.800000e-01	1.000000e+00	2.800000e+00	1.000000e+00	3.610000e+00	1.000000e+00
-5.000000e+00	5.999989e+01	1.000000e+00	3.399987e-01	1.000000e+00	7.040000e+00	1.000000e+00	4.290000e+00	1.000000e+00
-5.000000e+00	7.299998e+01	1.000000e+00	2.900001e-01	1.000000e+00	5.480000e+00	1.000000e+00	4.670000e+00	1.000000e+00
-5.000000e+00	6.700004e+01	1.000000e+00	1.600001e-01	1.000000e+00	5.850000e+00	1.000000e+00	4.860000e+00	1.000000e+00
-5.000000e+00	6.399994e+01	1.000000e+00	2.299999e-01	1.000000e+00	7.990000e+00	1.000000e+00	5.460000e+00	1.000000e+00
-5.000000e+00	8.899989e+01	1.000000e+00	4.800007e-01	1.000000e+00	5.250000e+00	1.000000e+00	5.130000e+00	1.000000e+00
-5.000000e+00	1.140001e+02	1.000000e+00	3.899994e-01	1.000000e+00	6.270000e+00	1.000000e+00	6.090000e+00	1.000000e+00
-5.000000e+00	6.799998e+01	1.000000e+00	4.199998e-01	1.000000e+00	6.470000e+00	1.000000e+00	6.030000e+00	1.000000e+00
-5.000000e+00	1.029999e+02	1.000000e+00	1.400002e-01	1.000000e+00	3.080000e+00	1.000000e+00	3.320000e+00	1.000000e+00
-5.000000e+00	3.999993e+01	1.000000e+00	2.900001e-01	1.000000e+00	1.058000e+01	1.000000e+00	8.540000e+00	1.000000e+00
-5.000000e+00	1.050001e+02	1.000000e+00	3.999996e-01	1.000000e+00	5.420000e+00	1.000000e+00	3.090000e+00	1.000000e+00
-5.000000e+00	7.899991e+01	1.000000e+00	2.400000e-01	1.000000e+00	1.145000e+01	1.000000e+00	5.050000e+00	1.000000e+00
-4.000000e+00	1.340001e+02	1.000000e+00	2.600000e-01	1.000000e+00	3.180000e+00	1.000000e+00	2.690000e+00	1.000000e+00
-4.000000e+00	7.299998e+01	1.000000e+00	3.100001e-01	1.000000e+00	5.650000e+00	1.000000e+00	3.630000e+00	1.000000e+00
-4.000000e+00	1.060000e+02	1.000000e+00	3.799993e-01	1.000000e+00	5.020000e+00	1.000000e+00	4.140000e+00	1.000000e+00
-4.000000e+00	9.000011e+01	1.000000e+00	1.500000e-01	1.000000e+00	6.740000e+00	1.000000e+00	4.910000e+00	1.000000e+00
-4.000000e+00	1.010000e+02	1.000000e+00	2.099999e-01	1.000000e+00	5.770000e+00	1.000000e+00	4.370000e+00	1.000000e+00
-4.000000e+00	1.190001e+02	1.000000e+00	5.999993e-01	1.000000e+00	4.780000e+00	1.000000e+00	4.840000e+00	1.000000e+00
-4.000000e+00	1.400000e+02	1.000000e+00	3.599990e-01	1.000000e+00	7.640000e+00	1.000000e+00	5.920000e+00	1.000000e+00
-4.000000e+00	7.100009e+01	1.000000e+00	3.200015e-01	1.000000e+00	5.940000e+00	1.000000e+00	4.440000e+00	1.000000e+00
-4.000000e+00	9.500010e+01	1.000000e+00	2.099999e-01	1.000000e+00	4.120000e+00	1.000000e+00	3.190000e+00	1.000000e+00
-4.000000e+00	6.799998e+01	1.000000e+00	3.000000e-01	1.000000e+00	9.670000e+00	1.000000e+00	7.390000e+00	1.000000e+00
-4.000000e+00	1.909999e+02	1.000000e+00	3.599990e-01	1.000000e+00	4.430000e+00	1.000000e+00	2.500000e+00	1.000000e+00
-4.000000e+00	9.399988e+01	1.000000e+00	3.000000e-01	1.000000e+00	7.680000e+00	1.000000e+00	4.140000e+00	1.000000e+00
-3.000000e+00	2.049999e+02	1.000000e+00	2.699999e-01	1.000000e+00	4.500000e+00	1.000000e+00	2.790000e+00	1.000000e+00
-3.000000e+00	1.029999e+02	1.000000e+00	3.200015e-01	1.000000e+00	5.840000e+00	1.000000e+00	3.210000e+00	1.000000e+00
-3.000000e+00	1.410000e+02	1.000000e+00	3.399987e-01	1.000000e+00	4.570000e+00	1.000000e+00	3.150000e+00	1.000000e+00
-3.000000e+00	1.569999e+02	1.000000e+00	1.400002e-01	1.000000e+00	6.500000e+00	1.000000e+00	4.270000e+00	1.000000e+00
-3.000000e+00	1.240001e+02	1.000000e+00	3.100001e-01	1.000000e+00	5.510000e+00	1.000000e+00	3.460000e+00	1.000000e+00
-3.000000e+00	1.569999e+02	1.000000e+00	5.200013e-01	1.000000e+00	5.520000e+00	1.000000e+00	4.180000e+00	1.000000e+00
-3.000000e+00	2.070001e+02	1.000000e+00	3.699991e-01	1.000000e+00	7.160000e+00	1.000000e+00	4.840000e+00	1.000000e+00
-3.000000e+00	1.260000e+02	1.000000e+00	3.299985e-01	1.000000e+00	6.870000e+00	1.000000e+00	3.740000e+00	1.000000e+00
-3.000000e+00	1.460000e+02	1.000000e+00	3.000000e-01	1.000000e+00	4.920000e+00	1.000000e+00	3.110000e+00	1.000000e+00
-3.000000e+00	7.399992e+01	1.000000e+00	2.099999e-01	1.000000e+00	8.570000e+00	1.000000e+00	5.050000e+00	1.000000e+00
-3.000000e+00	2.099999e+02	1.000000e+00	3.000000e-01	1.000000e+00	5.600000e+00	1.000000e+00	2.230000e+00	1.000000e+00
-3.000000e+00	1.329999e+02	1.000000e+00	2.400000e-01	1.000000e+00	8.240000e+00	1.000000e+00	3.390000e+00	1.000000e+00
-2.000000e+00	2.700001e+02	1.000000e+00	2.600000e-01	1.000000e+00	6.980000e+00	1.000000e+00	2.970000e+00	1.000000e+00
-2.000000e+00	1.380001e+02	1.000000e+00	3.100001e-01	1.000000e+00	4.970000e+00	1.000000e+00	2.880000e+00	1.000000e+00
-2.000000e+00	2.149999e+02	1.000000e+00	4.800007e-01	1.000000e+00	5.880000e+00	1.000000e+00	3.360000e+00	1.000000e+00
-2.000000e+00	1.920001e+02	1.000000e+00	2.000001e-01	1.000000e+00	5.380000e+00	1.000000e+00	3.450000e+00	1.000000e+00
-2.000000e+00	1.960001e+02	1.000000e+00	2.900001e-01	1.000000e+00	8.320000e+00	1.000000e+00	3.130000e+00	1.000000e+00
-2.000000e+00	1.859999e+02	1.000000e+00	5.899992e-01	1.000000e+00	6.660000e+00	1.000000e+00	3.610000e+00	1.000000e+00
-2.000000e+00	2.520000e+02	1.000000e+00	3.399987e-01	1.000000e+00	7.480000e+00	1.000000e+00	4.450000e+00	1.000000e+00
-2.000000e+00	1.799999e+02	1.000000e+00	4.099997e-01	1.000000e+00	8.230000e+00	1.000000e+00	3.490000e+00	1.000000e+00
-2.000000e+00	1.990000e+02	1.000000e+00	2.800000e-01	1.000000e+00	5.950000e+00	1.000000e+00	2.860000e+00	1.000000e+00
-2.000000e+00	1.400000e+02	1.000000e+00	2.600000e-01	1.000000e+00	1.045000e+01	1.000000e+00	5.240000e+00	1.000000e+00
-2.000000e+00	3.489997e+02	1.000000e+00	3.599990e-01	1.000000e+00	9.230000e+00	1.000000e+00	2.280000e+00	1.000000e+00
-2.000000e+00	2.260001e+02	1.000000e+00	2.800000e-01	1.000000e+00	9.650000e+00	1.000000e+00	2.980000e+00	1.000000e+00
-1.000000e+00	3.259991e+02	1.000000e+00	5.399984e-01	1.000000e+00	1.772000e+01	1.000000e+00	4.550000e+00	1.000000e+00
-1.000000e+00	1.709999e+02	1.000000e+00	3.299985e-01	1.000000e+00	8.860000e+00	1.000000e+00	2.950000e+00	1.000000e+00
-1.000000e+00	3.159996e+02	1.000000e+00	3.599990e-01	1.000000e+00	1.338000e+01	1.000000e+00	3.620000e+00	1.000000e+00
-1.000000e+00	2.929990e+02	1.000000e+00	2.600000e-01	1.000000e+00	8.350000e+00	1.000000e+00	3.790000e+00	1.000000e+00
-1.000000e+00	2.189999e+02	1.000000e+00	4.199998e-01	1.000000e+00	1.793000e+01	1.000000e+00	3.940000e+00	1.000000e+00
-1.000000e+00	2.360001e+02	1.000000e+00	7.200011e-01	1.000000e+00	9.080000e+00	1.000000e+00	3.330000e+00	1.000000e+00
-1.000000e+00	3.339992e+02	1.000000e+00	3.200015e-01	1.000000e+00	1.456000e+01	1.000000e+00	5.370000e+00	1.000000e+00
-1.000000e+00	3.050005e+02	1.000000e+00	4.600004e-01	1.000000e+00	1.679000e+01	1.000000e+00	3.610000e+00	1.000000e+00
-1.000000e+00	2.870010e+02	1.000000e+00	3.000000e-01	1.000000e+00	1.175000e+01	1.000000e+00	3.410000e+00	1.000000e+00
-1.000000e+00	2.170000e+02	1.000000e+00	1.500000e-01	1.000000e+00	1.831000e+01	1.000000e+00	4.700000e+00	1.000000e+00
-1.000000e+00	3.610012e+02	1.000000e+00	8.800003e-01	1.000000e+00	3.386000e+01	1.000000e+00	4.870000e+00	1.000000e+00
-1.000000e+00	2.470000e+02	1.000000e+00	4.900009e-01	1.000000e+00	1.849000e+01	1.000000e+00	4.190000e+00	1.000000e+00
0.000000e+00	1.329999e+02	1.000000e+00	7.799988e-01	1.000000e+00	4.092000e+01	1.000000e+00	1.112000e+01	1.000000e+00
0.000000e+00	1.300000e+02	1.000000e+00	5.799990e-01	1.000000e+00	2.292000e+01	1.000000e+00	4.820000e+00	1.000000e+00
0.000000e+00	4.669990e+02	1.000000e+00	1.110000e+00	1.000000e+00	6.276000e+01	1.000000e+00	1.351000e+01	1.000000e+00
0.000000e+00	2.030000e+02	1.000000e+00	1.019999e+00	1.000000e+00	8.973000e+01	1.000000e+00	1.902000e+01	1.000000e+00
