Timepoint   	P4          	SD          	E2          	SD          	LH_blood    	SD          	FSH_blood   	SD          
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.800000e+00	1.000000e+00
-1.400000e+01	8.499998e-01	1.000000e+00	2.914573e+01	1.000000e+00	3.980000e+00	1.000000e+00	5.880000e+00	1.000000e+00
-1.400000e+01	6.800005e-01	1.000000e+00	3.050768e+01	1.000000e+00	8.870000e+00	1.000000e+00	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.350000e+00	1.000000e+00
-1.400000e+01	7.899990e-01	1.000000e+00	2.260837e+01	1.000000e+00	5.860000e+00	1.000000e+00	1.120000e+01	1.000000e+00
-1.400000e+01	6.600002e-01	1.000000e+00	3.976894e+01	1.000000e+00	1.450000e+01	1.000000e+00	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	5.400000e+00	1.000000e+00
-1.400000e+01	1.439999e+00	1.000000e+00	2.511436e+01	1.000000e+00	2.540000e+00	1.000000e+00	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	3.800000e+00	1.000000e+00
-1.400000e+01	4.019996e+00	1.000000e+00	1.549899e+02	1.000000e+00	1.030000e+01	1.000000e+00	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	9.050000e+00	1.000000e+00
-1.400000e+01	1.439999e+00	1.000000e+00	4.249284e+01	1.000000e+00	8.540000e+00	1.000000e+00	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	7.400014e-01	1.000000e+00	4.194806e+01	1.000000e+00	5.850000e+00	1.000000e+00	1.060000e+01	1.000000e+00
-1.300000e+01	5.140012e-01	1.000000e+00	3.576481e+01	1.000000e+00	1.141000e+01	1.000000e+00	1.231000e+01	1.000000e+00
