# == Iter    0 ==
Timepoint   	A           	B           	C           
1.194533e+00	8.949462e-02	4.246588e-01	4.858466e-01
1.364652e+00	6.357467e-02	3.825567e-01	5.538686e-01
1.540420e+00	4.468528e-02	3.387270e-01	6.165877e-01
1.723136e+00	3.100320e-02	2.951865e-01	6.738103e-01
1.914326e+00	2.117530e-02	2.532890e-01	7.255357e-01
2.115771e+00	1.419374e-02	2.139313e-01	7.718750e-01
2.329570e+00	9.304619e-03	1.776917e-01	8.130037e-01
2.558240e+00	5.941884e-03	1.449224e-01	8.491357e-01
2.804876e+00	3.679789e-03	1.158096e-01	8.805106e-01
3.073403e+00	2.198669e-03	9.041275e-02	9.073886e-01
3.368975e+00	1.260020e-03	6.869116e-02	9.300488e-01
3.698656e+00	6.879951e-04	5.052340e-02	9.487886e-01
4.072630e+00	3.553273e-04	3.572215e-02	9.639225e-01
4.506553e+00	1.723002e-04	2.404691e-02	9.757808e-01
4.947663e+00	8.739411e-05	1.628554e-02	9.836271e-01
5.000000e+00	8.097197e-05	1.556749e-02	9.843515e-01


# == Iter    8 ==
Timepoint   	A           	B           	C           
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.997970e-01	2.030134e-04	1.007904e-08
1.010000e-02	9.797017e-01	2.019652e-02	1.017846e-04
8.378691e-02	8.435784e-01	1.499151e-01	6.506493e-03
1.885413e-01	6.820131e-01	2.882735e-01	2.971344e-02
3.031016e-01	5.405768e-01	3.906844e-01	6.873880e-02
4.273147e-01	4.202147e-01	4.583188e-01	1.214665e-01
5.625379e-01	3.194932e-01	4.947385e-01	1.857683e-01
7.099796e-01	2.370269e-01	5.038596e-01	2.591135e-01
8.661071e-01	1.728327e-01	4.908149e-01	3.363524e-01
1.027388e+00	1.247649e-01	4.625239e-01	4.127112e-01
1.192600e+00	8.939530e-02	4.251580e-01	4.854466e-01
1.362383e+00	6.350200e-02	3.830783e-01	5.534197e-01
1.537806e+00	4.463243e-02	3.392603e-01	6.161073e-01
1.720168e+00	3.096509e-02	2.957198e-01	6.733151e-01
1.910992e+00	2.114813e-02	2.538109e-01	7.250409e-01
2.112055e+00	1.417466e-02	2.144312e-01	7.713941e-01
2.325454e+00	9.291489e-03	1.781603e-01	8.125483e-01
